_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
37883,2328,2458,European Theater of Operations,2003.0,Federation & Empire: Advanced Operations,2003.0
38483,2385,7865,Age of Steam Expansion #2: Western US and Germany,2003.0,Nobody but us Chickens,2003.0
38755,2392,6948,Gem Quest,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0
38995,2413,3312,Dungeons & Dragons: The Fantasy Adventure Board Game - Eternal Winter Expansion Pack,2003.0,Pack of Flies,2003.0
39019,2413,6311,Dungeons & Dragons: The Fantasy Adventure Board Game - Eternal Winter Expansion Pack,2003.0,Fantasy Pub,2003.0
39039,2413,8262,Dungeons & Dragons: The Fantasy Adventure Board Game - Eternal Winter Expansion Pack,2003.0,Friendly Fire Pack #1,2003.0
39360,2455,2787,Dancing Eggs,2003.0,Dancing Eggs,2003.0
39816,2495,2532,1 Stein + Co.,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
39867,2495,8262,1 Stein + Co.,2003.0,Friendly Fire Pack #1,2003.0
40424,2568,9120,Stalingrad: Pivot on the Volga,2003.0,Battlelines: The Stalingrad Campaign,2003.0
40771,2577,6530,Teenage Mutant Ninja Turtles Game,2003.0,Ninja Burger,2003.0
42637,2853,9944,Millennium Wars: Korea,2003.0,Korea: The Forgotten War,2003.0
43249,3013,6235,Millennium Wars: America,2003.0,America Triumphant - Battle of the Bulge,2003.0
43383,3018,902,Millennium Wars: Air War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
43390,3018,1690,Millennium Wars: Air War,2003.0,Mission Command - Air Game,2003.0
43465,3018,9944,Millennium Wars: Air War,2003.0,Korea: The Forgotten War,2003.0
43658,3336,811,VEX Flag Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
43677,3336,2197,VEX Flag Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
43695,3336,4121,VEX Flag Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
43998,3378,6788,Paris vaut bien une Messe! Les Guerres de Religion 1562-1598,2003.0,Formula De,2003.0
44210,3395,811,Spongebob Squarepants Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
44229,3395,2197,Spongebob Squarepants Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
44247,3395,4121,Spongebob Squarepants Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
44458,3398,6788,Champs de Bataille IV: Asie,2003.0,Formula De,2003.0
44542,3399,6505,Jours de gloire Campagne III: Les Campagnes de France 1792/1814,2003.0,The Fall of France,2003.0
44550,3399,6788,Jours de gloire Campagne III: Les Campagnes de France 1792/1814,2003.0,Formula De,2003.0
44745,3404,8744,Quinto,2003.0,Quinto,2003.0
45130,4879,811,Worlds of Heroes & Tyrants: Hell Card Expansion #3 - The Maze,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
45134,4879,1245,Worlds of Heroes & Tyrants: Hell Card Expansion #3 - The Maze,2003.0,Munchkin 3: Clerical Errors,2003.0
45149,4879,2197,Worlds of Heroes & Tyrants: Hell Card Expansion #3 - The Maze,2003.0,"Suicide Bomber Card Game, The",2003.0
45167,4879,4121,Worlds of Heroes & Tyrants: Hell Card Expansion #3 - The Maze,2003.0,Lewis & Clark Exploration Card Game,2003.0
45314,4882,811,Worlds of Heroes & Tyrants: Hell Card Expansion #2 - Anger Management,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
45333,4882,2197,Worlds of Heroes & Tyrants: Hell Card Expansion #2 - Anger Management,2003.0,"Suicide Bomber Card Game, The",2003.0
45351,4882,4121,Worlds of Heroes & Tyrants: Hell Card Expansion #2 - Anger Management,2003.0,Lewis & Clark Exploration Card Game,2003.0
45406,4884,811,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
45425,4884,2197,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,"Suicide Bomber Card Game, The",2003.0
45428,4884,2532,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
45443,4884,4121,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,Lewis & Clark Exploration Card Game,2003.0
45479,4884,8262,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,Friendly Fire Pack #1,2003.0
45542,5187,5488,Legends Of Football,2003.0,Legends of Football,2003.0
46142,5888,811,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
46154,5888,1961,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,Battle Cry of Freedom,2003.0
46161,5888,2197,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
46166,5888,2570,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,Iron Chef - The Ultimate Cooking Challenge,2003.0
46179,5888,4121,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
46193,5888,6235,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,America Triumphant - Battle of the Bulge,2003.0
46203,5888,6695,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,Transformers Armada - Battle for Cybertron,2003.0
46418,5900,811,Carcassonne: Expansion 2 - Traders & Builders,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
46449,5900,3376,Carcassonne: Expansion 2 - Traders & Builders,2003.0,Carcassonne: Traders & Builders,2003.0
46498,5900,9404,Carcassonne: Expansion 2 - Traders & Builders,2003.0,Carcassonne: The Castle,2003.0
46524,5901,2006,New England,2003.0,New England,2003.0
46894,5944,2080,Granada: The Fall of Moslem Spain,2003.0,Granada - The Fall of Moslem Spain,2003.0
46934,5944,6505,Granada: The Fall of Moslem Spain,2003.0,The Fall of France,2003.0
47190,5983,3928,Time is Money,2003.0,Time Control,2003.0
47500,6025,7910,Light Speed,2003.0,Jungle Speed: The Extreme Expansion,2003.0
47714,6054,1690,Monkey Mission,2003.0,Mission Command - Air Game,2003.0
47741,6054,3779,Monkey Mission,2003.0,Mission Command - Sea Game,2003.0
47987,6070,1426,Dungeoneer: Tomb of the Lich Lord,2003.0,Dungeoneer: Vault of the Fiends,2003.0
